feature_1,feature_2,feature_3,label
1.13,2.23,1,B
1.11,2.24,30,B
1.09,2.25,38,B
1.07,2.26,55,B
1.04,2.27,92,B
1.02,2.28,11,B
1.0,2.29,17,B
0.98,2.3,78,B
0.95,2.31,63,B
0.93,2.32,50,B
0.91,2.33,11,B
0.88,2.34,31,B
0.86,2.35,50,B
0.84,2.36,23,B
0.81,2.36,25,B
0.79,2.37,69,B
0.76,2.38,98,B
0.74,2.39,25,B
0.72,2.4,72,B
0.69,2.4,84,B
0.67,2.41,18,B
0.64,2.42,47,B
0.62,2.42,10,B
0.6,2.43,78,B
0.57,2.43,78,B
0.55,2.44,49,B
0.52,2.44,83,B
0.5,2.45,87,B
0.47,2.45,63,B
0.45,2.46,56,B
0.42,2.46,58,B
0.4,2.47,90,B
0.38,2.47,92,B
0.35,2.48,55,B
0.33,2.48,10,B
0.3,2.48,58,B
0.28,2.48,84,B
0.25,2.49,40,B
0.23,2.49,82,B
0.2,2.49,55,B
0.18,2.49,42,B
0.15,2.5,67,B
0.13,2.5,44,B
0.1,2.5,94,B
0.08,2.5,96,B
0.05,2.5,51,B
0.03,2.5,46,B
0.0,2.5,58,B
-0.02,2.5,33,B
-0.05,2.5,94,B
-0.07,2.5,39,B
-0.1,2.5,41,B
-0.12,2.5,76,B
-0.15,2.5,32,B
-0.17,2.49,40,B
-0.2,2.49,56,B
-0.22,2.49,40,B
-0.25,2.49,57,B
-0.27,2.49,47,B
-0.3,2.48,79,B
-0.32,2.48,39,B
-0.35,2.48,31,B
-0.37,2.47,38,B
-0.4,2.47,87,B
-0.42,2.46,60,B
-0.45,2.46,2,B
-0.47,2.46,34,B
-0.49,2.45,31,B
-0.52,2.45,66,B
-0.54,2.44,11,B
-0.57,2.43,68,B
-0.59,2.43,10,B
-0.62,2.42,57,B
-0.64,2.42,36,B
-0.66,2.41,66,B
-0.69,2.4,5,B
-0.71,2.4,8,B
-0.74,2.39,49,B
-0.76,2.38,5,B
-0.78,2.37,52,B
-0.81,2.37,60,B
-0.83,2.36,71,B
-0.86,2.35,30,B
-0.88,2.34,30,B
-0.9,2.33,71,B
-0.93,2.32,96,B
-0.95,2.31,7,B
-0.97,2.3,18,B
-0.99,2.29,68,B
-1.02,2.28,88,B
-1.04,2.27,40,B
-1.06,2.26,82,B
-1.09,2.25,61,B
-1.11,2.24,31,B
-1.13,2.23,1,B
-1.15,2.22,98,B
-1.17,2.21,26,B
-1.2,2.19,96,B
-1.22,2.18,78,B
-1.24,2.17,10,B
-1.26,2.16,23,B
-1.28,2.15,8,B
-1.31,2.13,83,B
-1.33,2.12,86,B
-1.35,2.11,0,B
-1.37,2.09,88,B
-1.39,2.08,63,B
-1.41,2.06,80,B
-1.43,2.05,33,B
-1.45,2.04,8,B
-1.47,2.02,55,B
-1.49,2.01,76,B
-1.51,1.99,6,B
-1.53,1.98,65,B
-1.55,1.96,98,B
-1.57,1.95,14,B
-1.59,1.93,99,B
-1.61,1.91,92,B
-1.63,1.9,92,B
-1.65,1.88,56,B
-1.67,1.86,15,B
-1.68,1.85,82,B
-1.7,1.83,56,B
-1.72,1.81,82,B
-1.74,1.8,0,B
-1.76,1.78,23,B
-1.77,1.76,51,B
-1.79,1.74,51,B
-1.81,1.73,58,B
-1.83,1.71,28,B
-1.84,1.69,14,B
-1.86,1.67,10,B
-1.88,1.65,34,B
-1.89,1.63,97,B
-1.91,1.61,31,B
-1.93,1.59,94,B
-1.94,1.58,59,B
-1.96,1.56,89,B
-1.97,1.54,31,B
-1.99,1.52,60,B
-2.0,1.5,5,B
-2.02,1.48,36,B
-2.03,1.46,86,B
-2.05,1.44,73,B
-2.06,1.41,34,B
-2.08,1.39,98,B
-2.09,1.37,12,B
-2.1,1.35,76,B
-2.12,1.33,14,B
-2.13,1.31,78,B
-2.14,1.29,59,B
-2.16,1.27,93,B
-2.17,1.25,40,B
-2.18,1.22,34,B
-2.19,1.2,2,B
-2.2,1.18,85,B
-2.22,1.16,84,B
-2.23,1.14,77,B
-2.24,1.11,78,B
-2.25,1.09,64,B
-2.26,1.07,68,B
-2.27,1.05,80,B
-2.28,1.02,21,B
-2.29,1.0,62,B
-2.3,0.98,4,B
-2.31,0.95,26,B
-2.32,0.93,79,B
-2.33,0.91,62,B
-2.34,0.88,10,B
-2.35,0.86,40,B
-2.36,0.84,71,B
-2.36,0.81,60,B
-2.37,0.79,60,B
-2.38,0.77,49,B
-2.39,0.74,71,B
-2.39,0.72,61,B
-2.4,0.69,67,B
-2.41,0.67,70,B
-2.41,0.65,52,B
-2.42,0.62,61,B
-2.43,0.6,10,B
-2.43,0.57,65,B
-2.44,0.55,71,B
-2.44,0.53,75,B
-2.45,0.5,81,B
-2.45,0.48,18,B
-2.46,0.45,14,B
-2.46,0.43,64,B
-2.47,0.4,8,B
-2.47,0.38,76,B
-2.47,0.35,12,B
-2.48,0.33,31,B
-2.48,0.3,68,B
-2.48,0.28,82,B
-2.49,0.25,60,B
-2.49,0.23,79,B
-2.49,0.2,98,B
-2.49,0.18,86,B
-2.5,0.15,82,B
-2.5,0.13,49,B
-2.5,0.1,27,B
-2.5,0.08,70,B
-2.5,0.05,21,B
-2.5,0.03,62,B
-2.5,0.0,67,B
-2.5,-0.02,79,B
-2.5,-0.05,55,B
-2.5,-0.07,54,B
-2.5,-0.1,28,B
-2.5,-0.12,40,B
-2.5,-0.15,53,B
-2.49,-0.17,1,B
-2.49,-0.2,53,B
-2.49,-0.22,40,B
-2.49,-0.25,40,B
-2.49,-0.27,15,B
-2.48,-0.3,5,B
-2.48,-0.32,38,B
-2.48,-0.34,44,B
-2.47,-0.37,75,B
-2.47,-0.39,65,B
-2.46,-0.42,84,B
-2.46,-0.44,19,B
-2.46,-0.47,83,B
-2.45,-0.49,38,B
-2.45,-0.52,45,B
-2.44,-0.54,81,B
-2.44,-0.57,52,B
-2.43,-0.59,81,B
-2.42,-0.61,60,B
-2.42,-0.64,51,B
-2.41,-0.66,19,B
-2.4,-0.69,53,B
-2.4,-0.71,25,B
-2.39,-0.73,30,B
-2.38,-0.76,74,B
-2.37,-0.78,91,B
-2.37,-0.81,47,B
-2.36,-0.83,47,B
-2.35,-0.85,44,B
-2.34,-0.88,48,B
-2.33,-0.9,30,B
-2.32,-0.92,81,B
-2.31,-0.95,12,B
-2.3,-0.97,83,B
-2.29,-0.99,29,B
-2.28,-1.02,90,B
-2.27,-1.04,5,B
-2.26,-1.06,88,B
-2.25,-1.08,49,B
-2.24,-1.11,72,B
-2.23,-1.13,42,B
-2.22,-1.15,66,B
-2.21,-1.17,67,B
-2.2,-1.2,98,B
-2.18,-1.22,95,B
-2.17,-1.24,25,B
-2.16,-1.26,15,B
-2.15,-1.28,23,B
-2.13,-1.3,84,B
-2.12,-1.32,82,B
-2.11,-1.35,83,B
-2.09,-1.37,96,B
-2.08,-1.39,66,B
-2.07,-1.41,24,B
-2.05,-1.43,65,B
-2.04,-1.45,59,B
-2.02,-1.47,6,B
-2.01,-1.49,22,B
-1.99,-1.51,14,B
-1.98,-1.53,36,B
-1.96,-1.55,17,B
-1.95,-1.57,14,B
-1.93,-1.59,63,B
-1.91,-1.61,28,B
-1.9,-1.63,69,B
-1.88,-1.65,90,B
-1.87,-1.66,58,B
-1.85,-1.68,54,B
-1.83,-1.7,54,B
-1.81,-1.72,13,B
-1.8,-1.74,17,B
-1.78,-1.76,22,B
-1.76,-1.77,65,B
-1.74,-1.79,45,B
-1.73,-1.81,27,B
-1.71,-1.83,62,B
-1.69,-1.84,12,B
-1.67,-1.86,71,B
-1.65,-1.88,72,B
-1.63,-1.89,99,B
-1.62,-1.91,92,B
-1.6,-1.92,81,B
-1.58,-1.94,64,B
-1.56,-1.96,96,B
-1.54,-1.97,28,B
-1.52,-1.99,72,B
-1.5,-2.0,87,B
-1.48,-2.02,91,B
-1.46,-2.03,89,B
-1.44,-2.05,75,B
-1.42,-2.06,66,B
-1.4,-2.07,36,B
-1.38,-2.09,69,B
-1.35,-2.1,43,B
-1.33,-2.11,79,B
-1.31,-2.13,50,B
-1.29,-2.14,95,B
-1.27,-2.15,59,B
-1.25,-2.17,83,B
-1.23,-2.18,20,B
-1.2,-2.19,83,B
-1.18,-2.2,87,B
-1.16,-2.21,83,B
-1.14,-2.23,72,B
-1.12,-2.24,97,B
-1.09,-2.25,56,B
-1.07,-2.26,76,B
-1.05,-2.27,20,B
-1.02,-2.28,37,B
-1.0,-2.29,59,B
-0.98,-2.3,13,B
-0.96,-2.31,19,B
-0.93,-2.32,69,B
-0.91,-2.33,28,B
-0.89,-2.34,22,B
-0.86,-2.35,16,B
-0.84,-2.35,93,B
-0.82,-2.36,72,B
-0.79,-2.37,92,B
-0.77,-2.38,82,B
-0.74,-2.39,22,B
-0.72,-2.39,93,B
-0.7,-2.4,89,B
-0.67,-2.41,40,B
-0.65,-2.41,29,B
-0.62,-2.42,89,B
-0.6,-2.43,29,B
-0.58,-2.43,40,B
-0.55,-2.44,21,B
-0.53,-2.44,51,B
-0.5,-2.45,52,B
-0.48,-2.45,42,B
-0.45,-2.46,98,B
-0.43,-2.46,20,B
-0.4,-2.47,77,B
-0.38,-2.47,81,B
-0.35,-2.47,35,B
-0.33,-2.48,51,B
-0.31,-2.48,38,B
-0.28,-2.48,99,B
-0.26,-2.49,36,B
-0.23,-2.49,40,B
-0.21,-2.49,33,B
-0.18,-2.49,54,B
-0.16,-2.5,82,B
-0.13,-2.5,3,B
-0.11,-2.5,57,B
-0.08,-2.5,25,B
-0.06,-2.5,29,B
-0.03,-2.5,89,B
-0.01,-2.5,70,B
0.02,-2.5,84,B
0.04,-2.5,83,B
0.07,-2.5,89,B
0.09,-2.5,64,B
0.12,-2.5,41,B
0.14,-2.5,19,B
0.17,-2.49,14,B
0.19,-2.49,59,B
0.22,-2.49,74,B
0.24,-2.49,51,B
0.27,-2.49,58,B
0.29,-2.48,48,B
0.32,-2.48,21,B
0.34,-2.48,21,B
0.37,-2.47,62,B
0.39,-2.47,41,B
0.42,-2.46,79,B
0.44,-2.46,33,B
0.47,-2.46,94,B
0.49,-2.45,91,B
0.52,-2.45,46,B
0.54,-2.44,3,B
0.56,-2.44,82,B
0.59,-2.43,14,B
0.61,-2.42,97,B
0.64,-2.42,14,B
0.66,-2.41,8,B
0.69,-2.4,60,B
0.71,-2.4,1,B
0.73,-2.39,39,B
0.76,-2.38,43,B
0.78,-2.37,57,B
0.8,-2.37,57,B
0.83,-2.36,76,B
0.85,-2.35,82,B
0.88,-2.34,24,B
0.9,-2.33,28,B
0.92,-2.32,86,B
0.94,-2.31,35,B
0.97,-2.3,5,B
0.99,-2.3,20,B
1.01,-2.29,21,B
1.04,-2.27,48,B
1.06,-2.26,78,B
1.08,-2.25,97,B
1.1,-2.24,99,B
1.13,-2.23,99,B
1.15,-2.22,42,B
1.17,-2.21,96,B
1.19,-2.2,16,B
1.22,-2.18,86,B
1.24,-2.17,92,B
1.26,-2.16,40,B
1.28,-2.15,68,B
1.3,-2.13,71,B
1.32,-2.12,98,B
1.34,-2.11,52,B
1.37,-2.09,31,B
1.39,-2.08,3,B
1.41,-2.07,12,B
1.43,-2.05,45,B
1.45,-2.04,40,B
1.47,-2.02,32,B
1.49,-2.01,0,B
1.51,-1.99,2,B
1.53,-1.98,42,B
1.55,-1.96,50,B
1.57,-1.95,44,B
1.59,-1.93,49,B
1.61,-1.92,76,B
1.63,-1.9,61,B
1.64,-1.88,57,B
1.66,-1.87,18,B
1.68,-1.85,91,B
1.7,-1.83,91,B
1.72,-1.82,87,B
1.74,-1.8,69,B
1.75,-1.78,50,B
1.77,-1.76,33,B
1.79,-1.75,59,B
1.81,-1.73,98,B
1.82,-1.71,70,B
1.84,-1.69,16,B
1.86,-1.67,34,B
1.87,-1.65,66,B
1.89,-1.64,47,B
1.91,-1.62,75,B
1.92,-1.6,56,B
1.94,-1.58,5,B
1.95,-1.56,46,B
1.97,-1.54,8,B
1.99,-1.52,59,B
2.0,-1.5,77,B
2.02,-1.48,83,B
2.03,-1.46,21,B
2.04,-1.44,21,B
2.06,-1.42,2,B
2.07,-1.4,9,B
2.09,-1.38,75,B
2.1,-1.36,22,B
2.11,-1.33,74,B
2.13,-1.31,5,B
2.14,-1.29,39,B
2.15,-1.27,6,B
2.17,-1.25,88,B
2.18,-1.23,81,B
2.19,-1.21,19,B
2.2,-1.18,70,B
2.21,-1.16,24,B
2.23,-1.14,31,B
2.24,-1.12,72,B
2.25,-1.09,75,B
2.26,-1.07,45,B
2.27,-1.05,46,B
2.28,-1.03,95,B
2.29,-1.0,89,B
2.3,-0.98,30,B
2.31,-0.96,40,B
2.32,-0.93,11,B
2.33,-0.91,17,B
2.34,-0.89,92,B
2.35,-0.86,30,B
2.35,-0.84,87,B
2.36,-0.82,13,B
2.37,-0.79,75,B
2.38,-0.77,28,B
2.39,-0.75,23,B
2.39,-0.72,22,B
2.4,-0.7,60,B
2.41,-0.67,40,B
2.41,-0.65,20,B
2.42,-0.63,36,B
2.43,-0.6,50,B
2.43,-0.58,97,B
2.44,-0.55,78,B
2.44,-0.53,11,B
2.45,-0.5,98,B
2.45,-0.48,62,B
2.46,-0.46,74,B
2.46,-0.43,37,B
2.47,-0.41,40,B
2.47,-0.38,99,B
2.47,-0.36,47,B
2.48,-0.33,19,B
2.48,-0.31,68,B
2.48,-0.28,4,B
2.49,-0.26,71,B
2.49,-0.23,70,B
2.49,-0.21,99,B
2.49,-0.18,15,B
2.5,-0.16,89,B
2.5,-0.13,35,B
2.5,-0.11,7,B
2.5,-0.08,49,B
2.5,-0.06,45,B
2.5,-0.03,36,B
2.5,-0.01,30,B
2.0,0.0,61,A
2.0,0.02,26,A
2.0,0.04,85,A
2.0,0.06,7,A
2.0,0.08,91,A
2.0,0.1,18,A
2.0,0.12,78,A
2.0,0.14,62,A
1.99,0.16,28,A
1.99,0.18,64,A
1.99,0.2,8,A
1.99,0.22,49,A
1.99,0.24,82,A
1.98,0.26,55,A
1.98,0.28,51,A
1.98,0.3,85,A
1.97,0.32,81,A
1.97,0.34,33,A
1.97,0.36,23,A
1.96,0.38,18,A
1.96,0.4,25,A
1.96,0.42,14,A
1.95,0.44,49,A
1.95,0.46,79,A
1.94,0.48,33,A
1.94,0.49,15,A
1.93,0.51,79,A
1.93,0.53,7,A
1.92,0.55,12,A
1.92,0.57,0,A
1.91,0.59,71,A
1.9,0.61,61,A
1.9,0.63,40,A
1.89,0.65,35,A
1.89,0.67,2,A
1.88,0.69,10,A
1.87,0.7,43,A
1.86,0.72,83,A
1.86,0.74,42,A
1.85,0.76,28,A
1.84,0.78,39,A
1.83,0.8,13,A
1.83,0.82,73,A
1.82,0.83,7,A
1.81,0.85,14,A
1.8,0.87,74,A
1.79,0.89,79,A
1.78,0.91,40,A
1.77,0.92,58,A
1.76,0.94,81,A
1.76,0.96,8,A
1.75,0.98,93,A
1.74,0.99,10,A
1.73,1.01,57,A
1.72,1.03,46,A
1.71,1.05,36,A
1.69,1.06,19,A
1.68,1.08,6,A
1.67,1.1,12,A
1.66,1.11,24,A
1.65,1.13,89,A
1.64,1.15,32,A
1.63,1.16,91,A
1.62,1.18,46,A
1.6,1.19,11,A
1.59,1.21,55,A
1.58,1.23,20,A
1.57,1.24,41,A
1.56,1.26,42,A
1.54,1.27,41,A
1.53,1.29,79,A
1.52,1.3,20,A
1.5,1.32,21,A
1.49,1.33,1,A
1.48,1.35,32,A
1.46,1.36,79,A
1.45,1.38,15,A
1.44,1.39,61,A
1.42,1.41,70,A
1.41,1.42,4,A
1.39,1.43,90,A
1.38,1.45,59,A
1.36,1.46,47,A
1.35,1.48,1,A
1.33,1.49,25,A
1.32,1.5,71,A
1.3,1.52,79,A
1.29,1.53,95,A
1.27,1.54,56,A
1.26,1.55,24,A
1.24,1.57,46,A
1.23,1.58,75,A
1.21,1.59,37,A
1.2,1.6,93,A
1.18,1.62,43,A
1.16,1.63,92,A
1.15,1.64,91,A
1.13,1.65,56,A
1.11,1.66,48,A
1.1,1.67,98,A
1.08,1.68,98,A
1.06,1.69,57,A
1.05,1.7,73,A
1.03,1.71,19,A
1.01,1.72,75,A
1.0,1.73,98,A
0.98,1.74,93,A
0.96,1.75,56,A
0.94,1.76,88,A
0.92,1.77,79,A
0.91,1.78,33,A
0.89,1.79,48,A
0.87,1.8,68,A
0.85,1.81,16,A
0.84,1.82,9,A
0.82,1.83,69,A
0.8,1.83,21,A
0.78,1.84,99,A
0.76,1.85,48,A
0.74,1.86,83,A
0.72,1.86,69,A
0.71,1.87,92,A
0.69,1.88,73,A
0.67,1.88,65,A
0.65,1.89,63,A
0.63,1.9,19,A
0.61,1.9,12,A
0.59,1.91,67,A
0.57,1.92,79,A
0.55,1.92,78,A
0.53,1.93,55,A
0.52,1.93,37,A
0.5,1.94,17,A
0.48,1.94,21,A
0.46,1.95,55,A
0.44,1.95,56,A
0.42,1.96,79,A
0.4,1.96,36,A
0.38,1.96,29,A
0.36,1.97,27,A
0.34,1.97,10,A
0.32,1.97,43,A
0.3,1.98,40,A
0.28,1.98,98,A
0.26,1.98,42,A
0.24,1.99,20,A
0.22,1.99,33,A
0.2,1.99,22,A
0.18,1.99,65,A
0.16,1.99,39,A
0.14,1.99,71,A
0.12,2.0,9,A
0.1,2.0,25,A
0.08,2.0,83,A
0.06,2.0,22,A
0.04,2.0,30,A
0.02,2.0,79,A
0.0,2.0,96,A
-0.02,2.0,49,A
-0.04,2.0,18,A
-0.06,2.0,86,A
-0.08,2.0,46,A
-0.1,2.0,94,A
-0.12,2.0,54,A
-0.14,2.0,21,A
-0.16,1.99,22,A
-0.18,1.99,19,A
-0.2,1.99,46,A
-0.22,1.99,55,A
-0.24,1.99,39,A
-0.26,1.98,50,A
-0.28,1.98,29,A
-0.3,1.98,68,A
-0.32,1.97,10,A
-0.34,1.97,7,A
-0.36,1.97,35,A
-0.38,1.96,16,A
-0.4,1.96,24,A
-0.42,1.96,65,A
-0.43,1.95,27,A
-0.45,1.95,28,A
-0.47,1.94,68,A
-0.49,1.94,91,A
-0.51,1.93,72,A
-0.53,1.93,51,A
-0.55,1.92,59,A
-0.57,1.92,27,A
-0.59,1.91,91,A
-0.61,1.91,68,A
-0.63,1.9,24,A
-0.65,1.89,43,A
-0.67,1.89,36,A
-0.68,1.88,41,A
-0.7,1.87,66,A
-0.72,1.87,15,A
-0.74,1.86,35,A
-0.76,1.85,42,A
-0.78,1.84,98,A
-0.8,1.83,84,A
-0.81,1.83,90,A
-0.83,1.82,23,A
-0.85,1.81,74,A
-0.87,1.8,1,A
-0.89,1.79,95,A
-0.9,1.78,74,A
-0.92,1.77,32,A
-0.94,1.77,81,A
-0.96,1.76,74,A
-0.97,1.75,51,A
-0.99,1.74,20,A
-1.01,1.73,18,A
-1.03,1.72,38,A
-1.04,1.71,82,A
-1.06,1.7,60,A
-1.08,1.68,20,A
-1.09,1.67,82,A
-1.11,1.66,63,A
-1.13,1.65,88,A
-1.14,1.64,72,A
-1.16,1.63,77,A
-1.18,1.62,20,A
-1.19,1.61,68,A
-1.21,1.59,17,A
-1.22,1.58,2,A
-1.24,1.57,93,A
-1.26,1.56,16,A
-1.27,1.54,48,A
-1.29,1.53,63,A
-1.3,1.52,82,A
-1.32,1.5,57,A
-1.33,1.49,93,A
-1.35,1.48,61,A
-1.36,1.46,53,A
-1.38,1.45,5,A
-1.39,1.44,7,A
-1.41,1.42,76,A
-1.42,1.41,26,A
-1.43,1.39,39,A
-1.45,1.38,41,A
-1.46,1.37,73,A
-1.47,1.35,98,A
-1.49,1.34,49,A
-1.5,1.32,57,A
-1.51,1.31,11,A
-1.53,1.29,66,A
-1.54,1.28,68,A
-1.55,1.26,88,A
-1.57,1.24,35,A
-1.58,1.23,50,A
-1.59,1.21,97,A
-1.6,1.2,94,A
-1.61,1.18,23,A
-1.63,1.16,66,A
-1.64,1.15,32,A
-1.65,1.13,74,A
-1.66,1.12,37,A
-1.67,1.1,31,A
-1.68,1.08,92,A
-1.69,1.07,63,A
-1.7,1.05,69,A
-1.71,1.03,60,A
-1.72,1.01,36,A
-1.73,1.0,49,A
-1.74,0.98,42,A
-1.75,0.96,79,A
-1.76,0.94,24,A
-1.77,0.93,14,A
-1.78,0.91,24,A
-1.79,0.89,71,A
-1.8,0.87,73,A
-1.81,0.85,90,A
-1.82,0.84,34,A
-1.82,0.82,37,A
-1.83,0.8,58,A
-1.84,0.78,78,A
-1.85,0.76,8,A
-1.86,0.74,25,A
-1.86,0.73,20,A
-1.87,0.71,5,A
-1.88,0.69,51,A
-1.88,0.67,92,A
-1.89,0.65,1,A
-1.9,0.63,16,A
-1.9,0.61,82,A
-1.91,0.59,65,A
-1.92,0.57,43,A
-1.92,0.56,66,A
-1.93,0.54,7,A
-1.93,0.52,28,A
-1.94,0.5,16,A
-1.94,0.48,50,A
-1.95,0.46,51,A
-1.95,0.44,15,A
-1.96,0.42,30,A
-1.96,0.4,31,A
-1.96,0.38,41,A
-1.97,0.36,8,A
-1.97,0.34,22,A
-1.97,0.32,55,A
-1.98,0.3,1,A
-1.98,0.28,26,A
-1.98,0.26,70,A
-1.99,0.24,48,A
-1.99,0.22,8,A
-1.99,0.2,38,A
-1.99,0.18,9,A
-1.99,0.16,82,A
-1.99,0.14,54,A
-2.0,0.12,57,A
-2.0,0.1,86,A
-2.0,0.08,77,A
-2.0,0.06,53,A
-2.0,0.04,43,A
-2.0,0.02,71,A
-2.0,0.0,75,A
-2.0,-0.02,99,A
-2.0,-0.04,79,A
-2.0,-0.06,72,A
-2.0,-0.08,65,A
-2.0,-0.1,90,A
-2.0,-0.12,82,A
-2.0,-0.14,78,A
-1.99,-0.16,37,A
-1.99,-0.18,54,A
-1.99,-0.2,37,A
-1.99,-0.22,91,A
-1.99,-0.24,5,A
-1.98,-0.26,28,A
-1.98,-0.28,2,A
-1.98,-0.3,12,A
-1.97,-0.32,95,A
-1.97,-0.34,59,A
-1.97,-0.35,34,A
-1.96,-0.37,52,A
-1.96,-0.39,16,A
-1.96,-0.41,45,A
-1.95,-0.43,7,A
-1.95,-0.45,6,A
-1.94,-0.47,49,A
-1.94,-0.49,89,A
-1.93,-0.51,44,A
-1.93,-0.53,29,A
-1.92,-0.55,11,A
-1.92,-0.57,60,A
-1.91,-0.59,17,A
-1.91,-0.61,99,A
-1.9,-0.63,89,A
-1.89,-0.65,17,A
-1.89,-0.66,60,A
-1.88,-0.68,53,A
-1.87,-0.7,63,A
-1.87,-0.72,27,A
-1.86,-0.74,67,A
-1.85,-0.76,94,A
-1.84,-0.78,2,A
-1.84,-0.79,50,A
-1.83,-0.81,3,A
-1.82,-0.83,49,A
-1.81,-0.85,53,A
-1.8,-0.87,22,A
-1.79,-0.89,0,A
-1.78,-0.9,97,A
-1.78,-0.92,0,A
-1.77,-0.94,16,A
-1.76,-0.96,87,A
-1.75,-0.97,99,A
-1.74,-0.99,70,A
-1.73,-1.01,98,A
-1.72,-1.03,55,A
-1.71,-1.04,40,A
-1.7,-1.06,53,A
-1.69,-1.08,7,A
-1.67,-1.09,86,A
-1.66,-1.11,82,A
-1.65,-1.13,93,A
-1.64,-1.14,20,A
-1.63,-1.16,36,A
-1.62,-1.18,12,A
-1.61,-1.19,45,A
-1.59,-1.21,1,A
-1.58,-1.22,13,A
-1.57,-1.24,94,A
-1.56,-1.26,32,A
-1.54,-1.27,72,A
-1.53,-1.29,36,A
-1.52,-1.3,93,A
-1.51,-1.32,75,A
-1.49,-1.33,26,A
-1.48,-1.35,81,A
-1.47,-1.36,33,A
-1.45,-1.38,38,A
-1.44,-1.39,9,A
-1.42,-1.4,79,A
-1.41,-1.42,18,A
-1.4,-1.43,6,A
-1.38,-1.45,26,A
-1.37,-1.46,13,A
-1.35,-1.47,6,A
-1.34,-1.49,96,A
-1.32,-1.5,54,A
-1.31,-1.51,55,A
-1.29,-1.53,69,A
-1.28,-1.54,90,A
-1.26,-1.55,94,A
-1.25,-1.56,41,A
-1.23,-1.58,63,A
-1.21,-1.59,98,A
-1.2,-1.6,64,A
-1.18,-1.61,47,A
-1.17,-1.62,75,A
-1.15,-1.64,66,A
-1.13,-1.65,11,A
-1.12,-1.66,74,A
-1.1,-1.67,26,A
-1.08,-1.68,7,A
-1.07,-1.69,51,A
-1.05,-1.7,0,A
-1.03,-1.71,31,A
-1.02,-1.72,72,A
-1.0,-1.73,63,A
-0.98,-1.74,65,A
-0.96,-1.75,44,A
-0.95,-1.76,93,A
-0.93,-1.77,7,A
-0.91,-1.78,98,A
-0.89,-1.79,18,A
-0.87,-1.8,81,A
-0.86,-1.81,94,A
-0.84,-1.82,0,A
-0.82,-1.82,21,A
-0.8,-1.83,37,A
-0.78,-1.84,81,A
-0.76,-1.85,12,A
-0.75,-1.86,19,A
-0.73,-1.86,51,A
-0.71,-1.87,91,A
-0.69,-1.88,40,A
-0.67,-1.88,54,A
-0.65,-1.89,8,A
-0.63,-1.9,10,A
-0.61,-1.9,31,A
-0.6,-1.91,27,A
-0.58,-1.92,24,A
-0.56,-1.92,55,A
-0.54,-1.93,10,A
-0.52,-1.93,62,A
-0.5,-1.94,20,A
