car_id,ride_id,user_id,rating,ride_duration,ride_cost,true_feature_1,true_feature_2,true_feature_3,true_feature_4
D-8642892Q,b1Q,O13246583J,6.05,47,606,1126.25,1.2113564668769716,1,47
m16516804p,B1t,X20190007y,2.68,36,426,819.0,1.0524710189139719,0,0
O18445397U,i1T,O13246583J,5.92,33,389,1126.25,1.2113564668769716,0,0
B-3513567K,S1n,v21124740L,1.87,34,1014,1014.0,0.0,4,17106
i55328849i,b1t,i21828726D,2.53,56,498,498.0,0.0,10,23108
B-3513567K,c1t,W17883470y,5.0,37,439,439.0,0.0,4,17106
C-1092574s,z1Y,W10918286t,4.6,20,274,274.0,0.0,6,100329
i77678921h,M1k,x35004284O,0.8,40,355,355.0,0.0,3,169
k-7853395L,G1v,F97907764i,2.56,25,345,728.75,1.1662763466042156,0,0
L-2259780s,u1n,V75566459d,3.61,13,176,179724.5,0.10249671484888309,0,0
p60146435a,k1v,t91760466V,2.57,3132,28182,21190.5,0.8331441543700341,1,3132
B-3513567K,l1Y,v13925136y,1.97,119,1422,1422.0,0.0,4,17106
U16614632F,i1E,p12689452B,2.18,50,646,646.0,0.0,5,320
E-2364794p,O1J,f16519729K,2.31,90,894,186182.0,0.5302593659942364,1,90
R-5073928i,P1t,b61297238i,4.16,10,295,836.0,1.875282592313489,0,0
Z17995139Z,p1w,f16519729K,3.95,34,403,186182.0,0.5302593659942364,0,0
H-1760771N,C1n,P60842443a,4.72,57,793,629.25,0.1902552204176334,1,57
E94491875l,b1u,F97907764i,1.63,43,853,728.75,1.1662763466042156,1,43
e-8788520s,E1K,i59680714D,3.83,17033,153292,115008.25,0.5957836846929423,1,17033
w-3920980N,Q1a,b11670922I,4.87,19084,572516,194797.25,1.404406538734897,1,19084
i55328849i,r1t,P10231813T,2.41,86,768,768.0,0.0,10,23108
C-1584260v,O1r,t91760466V,6.24,22,216,21190.5,0.8331441543700341,0,0
d71004474f,d1l,W49509409k,4.02,13,111,111.0,0.0,1,128
h18172982Y,W1s,O13246583J,4.65,78,1007,1126.25,1.2113564668769716,1,78
U16614632F,k1t,F16688727P,4.75,40,314,314.0,0.0,5,320
B-3513567K,F1l,V11413025j,5.6,34,1015,1015.0,0.0,4,17106
i55328849i,w1y,z11834972F,3.95,31,243,243.0,0.0,10,23108
i55328849i,d1n,p77162487u,3.45,57,562,562.0,0.0,10,23108
e-1176726O,x1A,b61297238i,2.57,28,553,836.0,1.875282592313489,0,0
i55328849i,c1o,F92384825H,3.29,11348,147518,147518.0,0.0,10,23108
C-1092574s,e1D,u19529036K,6.55,58,632,632.0,0.0,6,100329
e18576123A,E1e,b61297238i,6.39,33230,996894,836.0,1.875282592313489,1,33230
R-2824741Q,R1q,X20190007y,2.98,59,819,819.0,1.0524710189139719,1,59
U16614632F,Z1N,N33554826D,0.96,34,403,403.0,0.0,5,320
H-1226800z,f1B,i59680714D,7.08,18,157,115008.25,0.5957836846929423,0,0
T83338145S,o1Q,f16519729K,4.15,28575,371470,186182.0,0.5302593659942364,1,28575
C-1092574s,h1J,s81460917M,0.83,31222,249770,249770.0,0.0,6,100329
h61870657i,y1N,F97907764i,2.56,7532,120507,728.75,1.1662763466042156,1,7532
j22108372p,V1J,V75566459d,4.0,23958,239574,179724.5,0.10249671484888309,1,23958
B-3513567K,W1b,q20149942o,0.1,39,1946,1946.0,0.0,4,17106
u20627445L,e1z,b61297238i,0.65,25,293,836.0,1.875282592313489,0,0
U16614632F,n1g,r18895845t,5.2,59,525,525.0,0.0,5,320
i77678921h,l1G,D93858475U,2.15,28,388,388.0,0.0,3,169
