,user_id,car_id,rating,stop_times
94,U34209070i,b-1016644U,8.19,0
95,G46988687d,R16773550u,3.81,0
96,E12870110f,F-1424198I,4.5,2
97,V21574973A,z16830819k,6.14,0
98,W22514508q,r-6945448j,4.2,13
99,i18954748S,w-3928877y,6.59,1
100,X35082889N,n79502261g,5.75,7
101,b59558324n,I-2073229s,4.41,1
102,U33756075h,y12090800r,3.95,2
103,W34393171O,b-2599382m,0.1,1
104,W18471336R,A28143979P,5.41,0
105,R21030662a,u-1444692P,7.33,0
106,s13852009U,j21980629t,3.56,0
107,Q60383385J,X10967418c,6.62,2
108,L17450850M,g10838650B,5.5,1
109,d32347374M,y11935658q,2.61,0
110,v31622945y,x-1530392k,2.05,1
111,V16037607k,W41114899Y,4.33,0
112,n10467710X,Q-1467343c,3.59,1
113,a12066315M,Q10035994a,3.42,1
114,k17222285N,l61851567T,4.76,1
115,r54017824H,U-7130411Q,2.68,1
116,n78012172V,l-1076081s,1.57,3
117,A22025414C,Q72167569Z,6.99,0
118,Y53362142T,Q11700844e,0.1,1
119,r56565593c,u89834900L,7.13,0
120,N15517008J,k53527360z,7.18,1
121,A44749130y,C-1531638p,5.91,0
122,Q26312236G,U-6432729p,3.61,1
123,Y53362142T,Y77630283F,2.91,1
124,v12408788f,Q-1710310B,1.29,0
125,a13478333D,C-1658821I,3.84,6
126,d94765345a,m17237645h,2.57,2
127,z12685254i,s-2080909j,4.73,0
128,W13917675T,z30179504O,4.17,0
129,X23057082c,Q19968160Q,10.0,1
130,w10500365z,d15211601W,4.02,1
131,a76040187j,v-1935966T,6.78,1
132,k17222285N,d-1150959l,5.54,3
133,i82515361F,I-2258340t,4.44,18
134,V20849119w,y10620904U,3.96,1
135,h75950158f,E-5303502D,5.92,0
136,D31385971f,x18607097I,3.8,0
137,N13599604Z,T-1769393Z,8.25,1
138,M64175485A,h24674210l,0.1,0
139,H90312511Q,k20675157L,4.43,0
140,Y51608702Q,C-1335407d,6.5,2
141,o18080762n,h-1428946I,5.16,1
142,Q79574913I,f11409987C,4.41,1
143,u17187407k,Q12901548n,3.52,0
144,P10646529U,X-1992655I,2.94,6
145,W37289247s,c11493622d,4.45,2
146,W38509388y,B-3210975f,3.74,0
147,i78482673N,I20629724K,1.26,0
148,X19613111f,C-1531638p,3.36,17
149,f12313142m,Q35379022F,5.0,0
150,B18334749J,L-1816115Y,8.67,1
151,R11054453B,m13987388S,4.6,0
152,Z94736330C,K-1596430s,7.4,1
153,P10454125a,N-6929570j,7.82,0
154,z51821700c,d-1766392g,4.23,1
155,y14033423A,e69316734g,3.64,0
156,y20809307r,Z-2000448T,7.28,1
157,Z57386806D,b-1681467p,2.68,0
158,H22222160g,P17953716g,2.65,7
159,C16457787j,J-1324072f,2.73,0
160,D11019586y,r-3939023a,4.36,9
161,p14343580J,t-9455268R,1.36,2
162,H25328781t,s-1701601T,1.64,0
163,W33370638k,h22481365A,6.4,2
164,a77751133p,O18445397U,6.26,0
165,V17994186D,M-1009693J,3.62,0
166,L40388441h,Z-8046890f,3.44,0
167,A11857670I,d12165520i,2.59,1
168,w45490491w,k16185001q,4.88,2
169,E18856452J,o55235221X,6.38,2
170,o80177072j,a-8447401l,7.34,1
171,y64330631D,t89744603y,1.78,17
172,l56613307I,n83325059s,2.96,0
173,L22556251S,f-1511931z,5.62,0
174,p21001402d,N-4056140F,2.75,0
175,K84901668y,z-5067315t,9.91,0
176,k21702858x,P-1572930P,8.03,0
177,u27817291l,Z11671085y,5.93,0
178,h17647929S,S-1915237T,7.72,1
179,d10808233r,z-1370671x,1.49,2
